Skill,Class,Type,CD,Description,Base,%,Rare,Epic,Legendary,Mythic,Divine,Immortal
Water to Ice,Mage,Charm,,"When the caster's Technique deals Water DMG to an enemy, there's a 50% chance to trigger Condensation, dealing additional Water DMG once, with a 30% base chance to inflict Frozen for 1 turn.",Legendary,DMG,,,27.30,34.12,42.31,54.60
Wind's Whisper,Mage,Charm,,Increases the caster's Wind Affinity.,Rare,,,,,,,
Energy Burst,Sorcerer,Technique,1,Your next damaging Technique gains increased Accuracy and deals 50% more DMG.,Epic,Accuracy,,15.00,20.00,25.00,30.00,35.00
Fiery Star Trail,Sorcerer,Technique,1,Deals Fire Doom DMG twice to all enemies within a 3-grid circular area of the caster.,Legendary,DMG,,,34.47,43.09,53.43,68.94
Flickering Stars,Sorcerer,Technique,1,Selects a grid within 6 grids of the caster. Deals Light DMG once to all enemies within 1 grid of the target grid and dispels 1 random buff from them.,Rare,DMG,69.83,79.80,99.75,124.69,154.61,199.50
Frosty Nova,Sorcerer,Technique,1,"Selects a grid within 3 grids of the caster. Deals Water DMG once to all enemies within a 1-grid square area of the target grid, with a 30% base chance to inflict Frozen for 1 turn.",Rare,DMG,48.22,55.10,68.88,86.10,106.76,137.76
Light of Dawn,Sorcerer,Technique,1,Deals Light Doom DMG twice to all enemies in a 1×8 grid area in front of the caster.,Legendary,DMG,,,59.85,74.81,92.77,119.70
Lightning Chain,Sorcerer,Technique,0,"Deals Light DMG once to 1 enemy within 4 grids of the caster. The effect then chains to 1 random enemy within 4 grids of the target, up to 8 times. Each enemy can only be hit once by the chain effect.",Epic,DMG,,27.09,33.87,42.33,52.49,67.73
Elemental Harmony,Sorcerer,Charm,,"For each element among equipped Techniques that deal DMG, increases the caster's Elemental Mastery. Stacks up to 4 times.",Epic,,,,,,,
Lightning Mystery,Sorcerer,Charm,,"Each time the caster's Technique deals DMG to an enemy, there's a 30% chance to trigger Thunder Strike that deals additional Light DMG once.",Rare,DMG,31.97,36.54,45.67,57.09,70.80,91.35
Raging Wildfire,Sorcerer,Charm,,Has a 20% chance to inflict Burn to grids within range when casting a Fire Technique.,Legendary,Burn DMG,,,31.01,38.76,48.07,62.02
Void Bubble,Sorcerer,Charm,,"When the caster's HP drops below 50% for the first time in a battle, grants a shield to the caster based on max HP for 2 turns and Dodge for 2 turns (cannot be dispelled).",Legendary,Shield HP,,,7.60,9.50,11.40,13.30
Wind's Shadow,Sorcerer,Charm,,Has a 30% chance to deal additional Wind DMG once and a 50% base chance to delay the target's action by 20% after dealing Wind DMG 3 times to an enemy with Techniques.,Epic,DMG,,19.15,23.94,29.93,37.11,47.88
Aqua Vortex,Archmage,Technique,1,"Creates a vortex at a selected grid within 4 grids of the caster. The vortex deals Water DMG once to all enemies within 2 grids and pulls them to its center, with a 40% base chance to inflict Wet for 2 turns.",Rare,DMG,38.37,43.85,54.81,68.51,84.96,109.62
Divine Wrath,Archmage,Technique,2,"Selects a target within 4 grids of the caster. Randomly deals Light DMG 16 times within 3 grids of the target, hitting at least 3 times. DMG decreases by 40% for each subsequent hit on the same target. (Prioritizes the skill range that contains large targets.)",Legendary,DMG,,,131.90,164.88,204.45,263.80
Fire Blast,Archmage,Technique,0,Deals Fire DMG once to 1 enemy within 5 grids of the caster.,Epic,DMG,,75.60,94.50,118.12,146.47,189.00
Howling Hurricane,Archmage,Technique,2,"Selects a grid within 5 grids of the caster. Deals Wind DMG 5 times to all enemies within 2 grids of the target grid, knocking them airborne.",Legendary,DMG,,,35.00,43.75,54.25,70.00
Meteoric Flames,Archmage,Technique,1,"Selects a grid within 5 grids of the caster. Deals Fire DMG once to all enemies within a 1-grid square area of the target grid, with a 60% chance to inflict Burn on grids within range. (Prioritizes large targets)",Epic,DMG,,91.31,114.14,142.67,176.91,228.27
Frost Guard,Archmage,Charm,,"At the end of the caster's turn, if no Technique was cast this turn, the caster enters the Icebound status, which reduces DMG taken and lasts until the start of the caster's next turn. This status heals the caster once before it expires.",Legendary,,,,,,,
Incarnation of Light,Archmage,Charm,,Increases the caster's Light Affinity.,Rare,,,,,,,
Radiant Sear,Archmage,Charm,,"Each time the caster's Technique deals DMG to an enemy, there's a 50% chance to deal additional Light DMG once, with a 30% base chance to inflict Blind.",Epic,DMG,,34.72,43.40,54.25,67.27,86.80
Rapid Cast,Archmage,Charm,,"Increases the caster's Elemental Mastery. Before battle starts, reduces the CD of all Techniques by 1 turn. (Techniques already off cooldown are not affected.)",Legendary,,,,,,,
Repelling Wind,Archmage,Charm,,"Has a 75% chance to trigger Repelling Wind when an enemy actively enters within 2 grids of the caster, dealing Wind DMG once, with a 100% base chance to knock them back 2 grids. (Triggers again if they approach repeatedly)",Epic,DMG,,42.00,52.50,65.62,81.38,105.00
Flowing Doom,Destroyer,Technique,2,"Deals Water DMG 3 times to all enemies in a 3×5 grid area in front of the caster, with a 50% base chance to knock them back by 1 grid.",Legendary,DMG,,,59.50,74.38,92.22,119.00
Formation Breaker,Destroyer,Technique,2,Increases ATK for all allied characters within 3 grids of the caster by a percentage of the caster's ATK for 2 turns. This effect is unique. Also there's a 50% chance to advance the action bar of allied characters by 20%. (Zero Initial CD),Rare,ATK Bonus,7.20,10.80,14.40,18.00,21.60,25.20
Protective Rune,Destroyer,Technique,4,Reduces direct DMG the caster takes from Techniques. Also boosts the caster's other DMG Reduction effects by an extra 20%. Lasts 3 turns. (Zero Initial CD),Epic,DMG Reduction,,12.00,16.00,20.00,24.00,28.00
Starlight Burst,Destroyer,Technique,1,"Selects a grid within 5 grids of the caster. Deals Light DMG once to all enemies within 2 grids of the target grid, with a 30% base chance to inflict Blind.",Epic,DMG,,72.80,91.00,113.75,141.05,182.00
Thunder of Judgment,Destroyer,Technique,1,Deals Light DMG 3 times to 1 enemy within 5 grids of the caster. (Prioritizes large targets),Legendary,DMG,,,75.46,94.33,116.96,150.92
Wind Blade Spiral,Destroyer,Technique,1,"Selects a grid within 3 grids of the caster. Deals Wind DMG 3 times to all enemies within a 1-grid square area of the target grid, with a 40% base chance to inflict Laceration for 1 turn.",Rare,DMG,42.63,48.72,60.90,76.12,94.39,121.80
Cyclone Lament,Destroyer,Charm,,"Increases the caster's Wind Affinity. Each time the caster's Technique deals Wind DMG to an enemy, there is a 35% base chance to inflict Laceration for 1 turn.",Legendary,DMG,,,21.00,26.25,32.55,42.00
Explosive Spirit,Destroyer,Charm,,"For every Fire Technique cast, increases the caster's Crit Rate for 2 turns. Stacks up to 8 times.",Legendary,Crit Rate,,,4.80,6.00,7.20,8.40
Fiery Burst,Destroyer,Charm,,"Each time the caster's Technique deals Fire Crit DMG to an enemy, deals additional Fire DMG once to all enemies within 2 grids of the target.",Epic,DMG,,22.47,28.09,35.11,43.54,56.18
Fiery Rejuvenation,Destroyer,Charm,,"At the end of the caster's turn, if there are grounds inflicted with Burn within 2 grids of the caster, heals the caster once. Increases the healing power by 10% for each additional Burning grid in the area. Stacks up to 5 times.",Epic,Heal Bonus,,0.94,1.08,1.18,1.35,1.55
Overload Protection,Destroyer,Charm,,"Within a single turn, each time the caster loses over 15% of max HP, grants the caster a shield based on their max HP for 2 turns.",Rare,Shield HP,2.40,3.60,4.80,6.00,7.20,8.40
Shattering Ice,Destroyer,Charm,,"When a target frozen by the caster removes the Frozen state, additionally deals Water DMG once.",Rare,DMG,112.70,128.80,161.00,201.25,249.55,322.00
Dark Bullet,Sage,Technique,0,"Attacks 1 enemy within 4 grids of the caster, dealing Dark DMG once, with a 50% base chance to inflict Erosion.",Epic,DMG,,47.92,59.90,74.87,92.84,119.80
Flame Wolf Summon,Sage,Technique,2,"Summons 2 Flame Wolves in front of the caster that immediately acts. The summon inherits a percentage of the caster's stats, starts in Stealth, and remains for up to 2 turns. (Zero Initial CD)",Epic,,,,,,,
Radiant Restoration,Sage,Technique,2,Heals all allies within 4 grids of the caster once.,Rare,Heal Bonus,2.76,3.22,3.68,4.03,4.60,5.29
Shadow Impact,Sage,Technique,1,"Selects a grid within 3 grids of the caster. Deals Dark DMG once to all enemies within 2 grids of that target grid. If the enemy target carries Erosion, triggers Erosion effect twice immediately.",Legendary,DMG,,,61.51,76.89,95.34,123.02
Treantling Summon,Sage,Technique,3,"Summons 1 Treantling behind the caster that immediately acts. The summon inherits a percentage of the caster's stats, starts in Stealth, and remains for up to 5 turns. (Zero Initial CD)",Legendary,,,,,,,
Weakening Hex,Sage,Technique,1,"Selects a grid within 3 grids of the caster. Deals Dark DMG once to all enemies within 2 grids of the target grid, with a 50% base chance to inflict Weakened 1 for 2 turns.",Rare,DMG,39.27,44.88,56.10,70.13,86.96,112.21
Healing Mastery,Sage,Charm,,Enhances the caster's healing effects.,Rare,,,,,,,
Resurrection,Sage,Charm,,"When an allied adventurer dies, immediately revives and heals them once, granting Revitalization for 2 turns (cannot be dispelled). This Charm can only trigger once per battle. Before battle starts, if multiple allied adventurers are dead, reviving the one with the highest Power first.",Legendary,Heal Bonus,,,3.20,3.50,4.00,4.60
Shadow Erosion,Sage,Charm,,"Each time the caster's Technique deals Dark DMG to an enemy, there is a 40% base chance to inflict Erosion.",Epic,DMG,,26.12,32.66,40.82,50.62,65.30
Soul Impact,Sage,Charm,,"When the caster's summon dies or expires, deals Dark DMG once to all enemies within 2 grids of it.",Legendary,DMG,,,52.50,65.62,81.38,105.00
Soul Spark,Sage,Charm,,Increases the ATK of the caster's summons but reduces their duration by 2 turns. (Summons last at least 1 turn; this Charm does not affect summons without a turn limit.),Epic,DMG,,45.00,45.00,45.00,45.00,45.00
Linked Misfortune,Arcanist,Charm,,"Each time the caster inflicts Erosion on an enemy, there's a 60% chance to inflict Erosion again.",Legendary,DMG,,32.66,40.82,51.03,63.28,81.65
Night's Blessing,Arcanist,Charm,,Increases the caster's Dark Affinity.,Rare,,,,,,,
Overhealing,Arcanist,Charm,,Has a 30% chance to additionally heal all allies within 1 grid of the target each time the caster heals allies with a Technique.,Epic,Heal Bonus,,2.98,3.40,3.72,4.25,4.89
Shadow Vengeance,Arcanist,Charm,,"Upon taking lethal DMG for the first time, the caster survives with 1 HP and enters Shadow Form, lasting until the end of the caster's turn (up to 4 global turns). The effect cannot be dispelled. In this form, the caster is immune to all DMG, can't be healed, won't be the primary target of attacks, deals increased DMG, and reduces Technique CD by 2 turns. (The caster dies immediately if failing to win when Shadow Form ends, ignoring any effects that would preserve HP.)",Legendary,DMG Bonus,,,60.00,75.00,90.00,105.00
Summoner's Frenzy,Arcanist,Charm,,Increases the ATK of summons.,Rare,ATK Bonus,15.00,15.00,15.00,15.00,15.00,15.00
Abyssal Hand,Arcanist,Technique,1,"Selects a grid within 3 grids of the caster. Deals Dark DMG once to all enemies within 2 grids of the target grid, with a 50% base chance to inflict Slow 1 for 2 turns.",Rare,DMG,52.59,60.10,75.12,93.91,116.44,150.25
Frenzy Totem,Arcanist,Technique,4,"Summons 1 Totem in front of the caster that immediately acts. The summon inherits a percentage of the caster's stats, starts in Stealth, and remains for up to 5 turns. (Zero Initial CD)",Legendary,,,,,,,
Mana Blast,Arcanist,Technique,1,Selects a grid within 3 grids of the caster. Deals Dark DMG once to all enemies within 2 grids of the target grid with a 50% base chance to inflict Erosion.,Epic,DMG,,55.52,69.40,86.75,107.57,138.80
Shadow of Termination,Arcanist,Technique,2,"Deals Dark DMG once to 1 enemy within 3 grids of the caster. If the target carries Erosion, triggers all Erosion stacks immediately. (Prioritizes large targets)",Legendary,DMG,,,180.87,226.09,280.35,361.75
Waterling Summon,Arcanist,Technique,3,"Summons 1 Waterling behind the caster that immediately acts. The summon inherits a percentage of the caster's stats, starts in Stealth, and remains for up to 5 turns. (Zero Initial CD)",Epic,,,,,,,
Chaos Rune,Dominator,Technique,2,"Attacks 1 enemy within 3 grids of the caster, dealing Dark DMG once, with a 40% base chance to inflict Frenzy for 1 turn.",Rare,DMG,159.29,182.05,227.56,284.45,352.72,455.13
Dark Starburst,Dominator,Technique,1,Deals Dark DMG 3 times to 1 enemy within 4 grids of the caster.,Epic,DMG,,49.00,61.25,76.56,94.94,122.50
Decoy Clone,Dominator,Technique,3,"Summons 1 Clone in front of the caster and connects it with 1 enemy. Whenever the Clone loses HP, the connected target loses the same amount of HP (True DMG). The Clone lasts 3 turns, inherits 60% of the target's DEF and a portion of its other stats, and is prioritized by allies as an attack target. (Zero Initial CD)",Legendary,,,,,,,
Rejuvenating Rain,Dominator,Technique,0,"Heals 1 ally within 5 grids of the caster once. If the target's HP is below 50%, this healing effect is increased by 20%.",Epic,Heal Bonus,,,1.12,1.23,1.40,1.61
Rock Rex Summon,Dominator,Technique,0,Summons 1 Rock Rex in front of the caster. The summon inherits a percentage of the caster's stats. (The Technique can only trigger once per battle.),Legendary,,,,,,,
Spirit Aegis,Dominator,Technique,1,Grants Spirit Mark to the allied character with the lowest HP within 5 grids of the caster.,Rare,DMG Reduction,8.40,12.60,16.80,21.00,25.20,29.40
Aberrancy,Dominator,Charm,,"When taking DMG, if the attacker is affected by ailment or debuff, reduces DMG taken by the caster.",Rare,DMG Reduction,8.40,12.60,16.80,21.00,25.20,29.40
Falling Dark Star,Dominator,Charm,,"At the start of the caster's turn, the caster gains 1 random buff that lasts until the start of the caster's next turn.",Epic,Buff,,10.50,14.00,17.50,21.00,24.50
Mantra of Blessings,Dominator,Charm,,"At the start of the caster's turn, grants Blessing to the allied character with the highest ATK, increasing their DMG. This effect lasts until the start of the caster's next turn and cannot be dispelled.",Legendary,DMG Bonus,,,16.80,21.00,25.20,29.40
Phantom Light,Dominator,Charm,,"Increases the caster's healing effects. When a Technique's healing overflows, converts 100% of the overheal into a shield for the target, lasting 2 turns.",Legendary,,,,,,,
Soul Pact Resonance,Dominator,Charm,,Grants an ATK boost when the caster has a summon on the battlefield.,Epic,ATK Bonus,,16.80,22.40,28.00,33.60,39.20
Soulbond Restoration,Dominator,Charm,,"When the caster's summon dies or expires, heals the caster once.",Rare,Heal Bonus,0.87,1.01,1.16,1.27,1.45,1.67
Blazing Clash,Duelist,Charm,,Increase the caster's DMG dealt for every 4 Techniques used. Stacks up to 3 times.,Epic,DMG Bonus,,4.50,6.00,7.50,9.00,10.50
Crit Mastery,Duelist,Charm,,Increases the caster's Crit DMG.,Epic,,,,,,,
Frame of Battles,Duelist,Charm,,Reduces the caster's DMG taken for every 15% HP lost. This effect stacks up to 5 times and cannot be dispelled.,Legendary,DMG Reduction,,,4.00,5.00,6.00,7.00
Indomitable Will,Duelist,Charm,,"Upon taking lethal DMG for the first time, survives with 1 HP, enters the Indomitable status for 2 turns (cannot be dispelled), and heals the caster once.",Legendary,Heal Bonus,,,7.20,7.88,9.00,10.35
Potential Vitality,Duelist,Charm,,Increases the caster's healing received for every 15% HP lost. This effect stacks up to 5 times and cannot be dispelled.,Rare,Healing Received,2.40,3.60,4.80,6.00,7.20,8.40
Darkness Descends,Duelist,Technique,1,Leaps to any empty grid within 5 grids of the caster. Deals Dark DMG once to 1 enemy within 1 grid of the caster and randomly dispels 1 buff. (Prioritizes large targets),Legendary,DMG,,,148.43,185.53,230.06,296.86
Fire Slash,Duelist,Technique,0,Deals Fire Doom DMG once to all enemies in a 3×2 grid area in front of the caster.,Rare,DMG,38.12,43.57,54.46,68.08,84.41,108.92
Flame Aura,Duelist,Technique,1,Grants Flame to the caster and 3 random allies within 3 grids of the caster for 2 turns. This effect cannot be dispelled.,Rare,DMG,33.54,38.33,47.91,59.88,74.26,95.82
Flash Dash,Duelist,Technique,0,"Dashes 5 grids in a straight line, dealing Physical Doom DMG once to all enemies in a 1×4 grid area along the path. (Cannot penetrate enemies larger than 4 grids)",Epic,DMG,,50.25,62.81,78.51,97.36,125.62
Shattering Sigil,Duelist,Technique,1,"Attacks 1 enemy within 1 grid of the caster, dealing Fire DMG once and inflicting Sigil. (Prioritizes large targets)",Epic,DMG,,37.50,46.87,58.59,72.65,93.74
Sunset Sword,Duelist,Technique,1,Deals Physical DMG 5 times to all enemies in a 3×2 grid area in front of the caster.,Legendary,DMG,,,20.86,26.07,32.33,41.72
Asura's Grasp,Berserker,Technique,1,The caster's next damaging Technique deals Doom DMG with a DMG boost.,Epic,DMG Boost,,30.00,40.00,50.00,60.00,70.00
Doom Blade,Berserker,Technique,1,"Leaps to any empty space within 5 grids of the caster, dealing Dark DMG once to all enemies within 2 grids of the caster, knocking them airborne, with a 50% base chance to inflict Armor Break 2 for 2 turns.",Legendary,DMG,,,82.19,102.73,127.39,164.35
Eclipse Slash,Berserker,Technique,1,Deals Physical DMG 6 times to 1 enemy within 1 grid of the caster. (Prioritizes large targets),Legendary,DMG,,,114.49,143.12,177.46,228.98
Gale Dance,Berserker,Technique,1,Increases Movement by 2 grids and SPD by a percentage of the caster's Speed for all allied characters within 3 grids of the caster for 2 turns. This effect is unique. (Casts once before battle starts.),Rare,Speed,8.00,12.00,16.00,20.00,24.00,28.00
Hunter's Judgment,Berserker,Technique,1,"Selects a grid within 4 grids of the caster. Pulls all enemies within a 1-grid square area of the target grid to the grid in front of the caster, then deals Physical DMG 3 times to all enemies in a 3×3 grid area in front of the caster and knocks them airborne.",Epic,DMG,,19.44,24.30,30.37,37.66,48.59
Blade of Judgment,Berserker,Charm,,"Each time the caster's Technique deals DMG to an enemy, inflicts 1 stack of Mark on them. When Mark stacks to 10, deals Physical DMG once to the target.",Legendary,DMG,,,179.62,224.53,278.41,359.24
Blade Siphon,Berserker,Charm,,Heals the caster once each time the caster's Technique deals Crit DMG to an enemy.,Rare,Heal Bonus,0.24,0.28,0.32,0.35,0.40,0.46
Desperate Valor,Berserker,Charm,,Increase the caster's DMG dealt for every 15% HP lost. This effect stacks up to 5 times and cannot be dispelled.,Rare,DMG Bonus,2.00,3.00,4.00,5.00,6.00,7.00
Soul Splash,Berserker,Charm,,"The caster's Single-Hit Tecnhqiues deal more DMG. Killing an enemy deals additional Fire True DMG once to all enemies within 2 grids of the target, equal to 60% of overkill DMG",Legendary,DMG Bonus,4.00,6.00,8.00,10.00,12.00,14.00
Soulfire Protection,Berserker,Charm,,"At the start of battle, consumes 50% of the caster's current HP to grant the caster a DMG Reduction effect. This effect cannot be dispelled.",Epic,DMG Reduction,,16.20,21.60,27.00,32.40,37.80
Blazing Momentum,Conqueror,Charm,,"Each time the caster's Technique deals Crit DMG to an enemy, deals additional Fire DMG once to all enemies within 1 grid of the target.",Rare,DMG,9.55,10.92,13.65,17.06,21.16,27.30
Piercing Assault,Conqueror,Charm,,"Each time the caster's Technique deals DMG to an enemy, the caster ignores a portion of the target's DEF. The DEF ignorance increases by 10% for each buff the caster has, stacking up to 3 times.",Legendary,Def Ignore,,,26.40,33.00,39.60,46.20
Sharp Feathers,Conqueror,Charm,,"Each time the caster's Technique deals DMG to an enemy, there's a 40% chance to summon 1 Wind Orb",Legendary,DMG,,,31.36,39.20,48.61,62.72
Soul Breaker,Conqueror,Charm,,Increase the caster's DMG dealt for every 15% HP lost of the target. Stacks up to 5 times.,Epic,DMG Bonus,,,3.30,4.40,5.50,6.60
Spirit in Fire,Conqueror,Charm,,Reduces DMG taken during the caster's turn.,Rare,DMG Reduction,14.00,21.00,28.00,35.00,42.00,49.00
Tactical Adaptation,Conqueror,Charm,,"When there are 3 or fewer enemies within 2 grids, increases the caster's DMG dealt. When there are more than 3 enemies within 2 grids, reduces the caster's DMG taken.",Epic,DMG Bonus / Reduction,10.00,15.00,20.00,25.00,30.00,35.00
Blade Storm,Conqueror,Technique,1,Deals Wind DMG 3 times to all enemies in a 1×4 grid area in front of the caster.,Epic,DMG,,45.08,56.35,70.44,87.34,112.70
Dreadful Shadow,Conqueror,Technique,1,"Attacks all enemies within 2 grids of the caster, dealing Dark DMG once, with a 60% base chance to inflict Fear for 2 turns.",Rare,DMG,75.73,86.55,108.19,135.24,167.70,216.38
Flash Fire,Conqueror,Technique,1,"Leaps to an empty grid adjacent to an enemy target that is 2 grids from the caster, dealing Fire DMG once to that target. (Zero Initial CD)",Epic,DMG,,102.90,128.62,160.78,199.37,257.25
Flickering Blade,Conqueror,Technique,0,"Deals Fire DMG once to 1 enemy within 1 grid of the caster. If the target is not defeated, there is a 60% chance to cast this skill again. Can be cast up to 2 additional times per turn.",Legendary,DMG,,,61.38,76.73,95.14,122.77
Hellfire Requiem,Conqueror,Technique,1,"At the start of each turn for 2 turns, heals the caster once and dispels 2 random ailment or debuffs.",Rare,Heal Bonus,0.81,0.94,1.08,1.18,1.35,1.55
Soul Piercer,Conqueror,Technique,1,"Deals Dark DMG once to all enemies within 3×2 grid area in front of the caster, with a 10% Lifesteal effect.",Legendary,DMG,,,85.51,106.89,132.54,171.02
Frostbite Blossom,Knight,Technique,1,Deals Water DMG once to all enemies within a 1-grid square area of the caster.,Rare,DMG,70.43,80.49,100.62,125.77,155.96,201.24
Guardian Ring,Knight,Technique,1,Grants a shield based on DEF to the caster for 2 turns. (Zero Initial CD),Rare,Shield HP,8.00,12.00,16.00,20.00,24.00,28.00
Heart of Challenge,Knight,Technique,1,"Deals Physical DMG once to all enemies within 3 grids of the caster, with an 85% chance to inflict Taunt for 1 turn. Has a 100% chance to inflict Taunt non-character units. (Casts once at the start of battle.)",Epic,DMG,,29.61,37.02,46.27,57.37,74.03
Ricocheting Shield,Knight,Technique,1,"Deals Physical DMG once to 1 enemy within 3 grids of the caster, then bounces to another rnadom enemy within 3 grids up to 3 times. 30% base chance to inflict Stun for 1 turn when dealing damage. (Large targets may take multiple hits)",Legendary,DMG,,,60.39,75.49,93.60,120.78
Stunning Strike,Knight,Technique,1,"Attacks 1 enemy within 1 grid of the caster, dealing Physical DMG once, with a 40% base chance to inflict Stun for 1 turn.",Epic,DMG,,107.81,134.76,168.45,208.87,269.51
Valor Surge,Knight,Technique,1,Grants a DMG Boost to all allied characters within 5 grids of the caster for 2 turns and dispels 1 random status ailment or debuff. (Casts once before battle starts.),Legendary,DMG Bonus,,,13.60,17.00,20.40,23.80
Defensive Assault,Knight,Charm,,Grants an ATK boost when the caster is shielded.,Rare,ATK Bonus,7.00,10.50,14.00,17.50,21.00,24.50
Eye for an Eye,Knight,Charm,,"Each time the caster takes Technique DMG, increases the DMG of the caster's next Technique attack. This effect can stack up to 10 times.",Epic,DMG Bonus,,2.55,3.40,4.25,5.10,5.95
Pursuit of Victory,Knight,Charm,,"Increases the Resilience Break efficiency of the caster's skills. Additionally, deals increased Technique DMG to enemies affected by ailments or debuffs.",Legendary,DMG Bonus,,,14.00,17.50,21.00,24.50
Rebound,Knight,Charm,,"Each time the caster blocks an enemy's Technique attack, deals Physical DMG once to the attacker based on the caster's DEF.",Legendary,DMG,,,40.57,50.72,62.89,81.14
Ripple Impact,Knight,Charm,,"When the caster's shield is fully broken, deals Water DMG once to all enemies within 2 grids of the caster, with a 100% base chance to inflict 3 stacks of Cold for 2 turns.",Epic,DMG,,66.95,83.69,104.61,129.72,167.38
Block Mastery,Paladin,Charm,,Increases the caster's Block Efficiency.,Rare,,,,,,,
Potential Rebirth,Paladin,Charm,,"Upon taking lethal DMG for the first time, the caster survives with 1 HP, heals the caster once, and dispels all dispellable effects on the caster.",Legendary,Heal Bonus,,,8.80,9.62,11.00,12.65
Reflective Armor,Paladin,Charm,,"While shielded, the caster reflects a percentage of DMG taken back to the attacker as Light DMG once for each Technique attack received.",Epic,Reflect DMG,,134.70,179.60,224.50,269.40,314.30
Source of Vitality,Paladin,Charm,,Heals the caster once at the start of the caster's turn.,Legendary,Heal Bonus,,,0.80,0.88,1.00,1.15
Stone Skin,Paladin,Charm,,Reduces the caster's DMG taken for 1 turn for every 1 instances of Technique DMG the caster takes. This effect can stack up to 9 times,Rare,DMG Reduction,1.00,1.50,2.00,2.50,3.00,3.50
