Lvl,Rolla Stone Cost,Rolla Wood Cost,Rolla Output,Wood Stone Cost,Wood Wood Cost,Wood Output,Stone Stone Cost,Stone Wood Cost,Stone Output,Ore Stone Cost,Ore Wood Cost,Ore Output,Essence Stone Cost,Essence Wood Cost,Essence Output,Sand Stone Cost,Sand Wood Cost,Sand Output,Pet Stone Cost,Pet Wood Cost,Pet Output
104,8620,5745,11300,10055,4310,565,4310,10055,565,9340,5030,1130,5745,8620,1412,5030,9335,904,7185,7180,113
105,8695,5795,11400,10145,4345,570,4345,10145,570,9420,5070,1140,5795,8695,1425,5070,9420,912,7245,7245,114
106,9435,6295,11500,11010,4720,575,4720,11010,575,10220,5505,1150,6290,9440,1437,5505,10230,920,7865,7865,115
107,9515,6350,11600,11105,4760,580,4760,11105,580,10310,5555,1160,6345,9520,1450,5550,10315,928,7935,7930,116
108,10200,6765,11700,12000,5000,585,5000,12000,585,11050,5920,1170,6800,10150,1462,5950,10995,936,8500,8460,117
109,10320,6845,11800,12000,5000,590,5000,12000,590,11180,5990,1180,6880,10270,1475,6020,11125,944,8600,8560,118
110,10445,6925,11900,12000,5000,595,5000,12000,595,11315,6060,1190,6960,10390,1487,6090,11255,952,8705,8655,119
111,10450,6925,12000,12000,5000,600,5000,12000,600,11325,6060,1200,6970,10390,1500,6095,11255,960,8710,8660,120
112,10565,7005,12100,12000,5000,605,5000,12000,605,11445,6130,1210,7045,10505,1512,6165,11380,968,8805,8755,121
113,10570,7005,12200,12000,5000,610,5000,12000,610,11450,6130,1220,7045,10510,1525,6165,11385,976,8810,8760,122
114,10665,7080,12300,12000,5000,615,5000,12000,615,11550,6195,1230,7110,10625,1537,6220,11510,984,8885,8855,123
115,10685,7085,12400,12000,5000,620,5000,12000,620,11575,6200,1240,7125,10630,1550,6235,11515,992,8905,8860,124
116,10690,7090,12500,12000,5000,625,5000,12000,625,11580,6200,1250,7125,10630,1562,6235,11515,1000,8905,8860,125
117,10780,7160,12600,12000,5000,630,5000,12000,630,11675,6265,1260,7185,10740,1575,6290,11635,1008,8980,8950,126
118,10805,7165,12700,12000,5000,635,5000,12000,635,11705,6270,1270,7205,10745,1587,6305,11640,1016,9005,8955,127
119,10895,7240,12800,12000,5000,640,5000,12000,640,11800,6335,1280,7265,10860,1600,6355,11765,1024,9080,9050,128
120,10925,7240,12900,12000,5000,645,5000,12000,645,11835,6335,1290,7285,10860,1612,6375,11765,1032,9105,9050,129
121,11010,7315,13000,12000,5000,650,5000,12000,650,11925,6400,1300,7340,10975,1625,6420,11890,1040,9175,9145,130
122,11125,7395,13100,12000,5000,655,5000,12000,655,12050,6470,1310,7415,11090,1637,6490,12015,1048,9270,9240,131
123,14030,9840,13200,12000,5000,660,5000,12000,660,15200,8610,1320,9355,14760,1650,8185,15990,1056,11695,12300,132
124,14170,9935,13300,12000,5000,665,5000,12000,665,15350,8695,1330,9445,14900,1662,8265,16145,1064,11805,12420,133
125,14305,10030,13400,12000,5000,670,5000,12000,670,15495,8775,1340,9535,15045,1675,8345,16295,1072,11920,12535,134
126,14440,10125,13500,12000,5000,675,5000,12000,675,15645,8860,1350,9625,15185,1687,8425,16450,1080,12035,12655,135
127,14575,10220,13600,12000,5000,680,5000,12000,680,15790,8940,1360,9720,15325,1700,8505,16605,1088,12145,12775,136
128,16195,11285,13700,12000,5000,685,5000,12000,685,17550,9875,1370,10800,16925,1712,9450,18335,1096,13500,14100,137
129,16340,11360,13800,12000,5000,690,5000,12000,690,17700,9940,1380,10895,17045,1725,9535,18460,1104,13615,14205,138
130,16480,11380,13900,12000,5000,695,5000,12000,695,17860,9960,1390,10990,17070,1737,9615,18490,1112,13735,14225,139
131,16625,11460,14000,12000,5000,700,5000,12000,700,18010,10025,1400,11085,17185,1750,9700,18620,1120,13855,14325,140
132,16765,11480,14100,12000,5000,705,5000,12000,705,18165,10045,1410,11180,17215,1762,9780,18655,1128,13975,14350,141
133,17095,11550,14200,12000,5000,710,5000,12000,710,18520,10110,1420,11400,17330,1775,9970,18770,1136,14245,14440,142
134,17240,11575,14300,12000,5000,715,5000,12000,715,18675,10130,1430,11490,17365,1787,10055,18815,1144,14365,14470,143
135,17385,11650,14400,12000,5000,720,5000,12000,720,18830,10190,1440,11590,17470,1800,10140,18930,1152,14485,14560,144
136,17455,11675,14500,12000,5000,725,5000,12000,725,18910,10215,1450,11635,17515,1812,10185,18970,1160,14545,14595,145
137,17525,11745,14600,12000,5000,730,5000,12000,730,18990,10275,1460,11685,17615,1825,10225,19085,1168,14605,14680,146
138,19665,13170,14700,12000,5000,735,5000,12000,735,21305,11525,1470,13110,19755,1837,11470,21405,1176,16390,16465,147
139,19750,13275,14800,12000,5000,740,5000,12000,740,21395,11620,1480,13165,19915,1850,11520,21575,1184,16460,16595,148
140,19820,13385,14900,12000,5000,745,5000,12000,745,21475,11710,1490,13215,20075,1862,11560,21750,1192,16520,16730,149
141,19980,13490,15000,12000,5000,750,5000,12000,750,21645,11805,1500,13215,20235,1875,11655,21920,1200,16650,16865,150
142,20140,13595,15100,12000,5000,755,5000,12000,755,21815,11900,1510,13425,20395,1887,11745,22095,1208,16780,16995,151
143,20535,13800,15200,12000,5000,760,5000,12000,760,22250,12075,1520,13690,20695,1900,11980,22420,1216,17115,17245,152
144,20695,13905,15300,12000,5000,765,5000,12000,765,22420,12170,1530,13800,20855,1912,12075,22595,1224,17245,17380,153
145,20855,14015,15400,12000,5000,770,5000,12000,770,22590,12260,1540,13905,21020,1925,12165,22770,1232,17380,17515,154
146,21015,14070,15500,12000,5000,775,5000,12000,775,22765,12310,1550,14010,21105,1937,12260,22860,1240,17515,17590,155
147,21030,14070,15600,12000,5000,780,5000,12000,780,22780,12355,1560,14015,21180,1950,12270,22945,1248,17525,17650,156
148,21155,14120,15700,12000,5000,785,5000,12000,785,22920,12360,1570,14105,21185,1962,12340,22950,1256,17630,17655,157
149,21175,14175,15800,12000,5000,790,5000,12000,790,22940,12400,1580,14115,21260,1975,12350,23035,1264,17645,17720,158
150,21185,14225,15900,12000,5000,795,5000,12000,795,22950,12450,1590,14125,21335,1987,12360,23120,1272,17655,17785,159
151,21275,14225,16000,12000,5000,800,5000,12000,800,23045,12450,1600,14185,21340,2000,12410,23120,1280,17725,17785,160
152,21310,14280,16100,12000,5000,805,5000,12000,805,23085,12495,1610,14205,21425,2012,12430,23210,1288,17760,17850,161
153,,,16200,12000,5000,810,5000,12000,810,,,1620,,,2025,13105,24510,1296,18725,18855,162
154,,,16300,12000,5000,815,5000,12000,815,,,1630,,,2037,,,1304,18790,18930,163
155,,,16400,12000,5000,820,5000,12000,820,,,1640,,,2050,,,1312,18825,18990,164
156,,,16500,12000,5000,825,5000,12000,825,,,1650,,,2062,,,1320,18860,19070,165
157,,,16600,12000,5000,830,5000,12000,830,,,1660,,,2075,,,1328,18925,19105,166
158,,,16700,12000,5000,835,5000,12000,835,,,1670,,,2087,,,1336,18960,19125,167
159,,,16800,12000,5000,840,5000,12000,840,,,1680,,,2100,,,1344,19000,19240,168
160,,,16900,12000,5000,845,5000,12000,845,,,1690,,,2112,,,1352,19055,19375,169
161,,,17000,12000,5000,850,5000,12000,850,,,1700,,,2125,,,1360,19095,19505,170
162,,,17100,12000,5000,855,5000,12000,855,,,1710,,,2137,,,1368,19185,19640,171
163,,,17200,12000,5000,860,5000,12000,860,,,1720,,,2150,,,1376,19610,20005,172
164,,,17300,12000,5000,865,5000,12000,865,,,1730,,,2162,,,1384,19745,20140,173
165,,,17400,12000,5000,870,5000,12000,870,,,1740,,,2175,,,1392,19875,20275,174
166,,,17500,12000,5000,875,5000,12000,875,,,1750,,,2187,,,1400,20010,20410,175
167,,,17600,12000,5000,880,5000,12000,880,,,1760,,,2200,,,1408,20140,20545,176
168,,,17700,12000,5000,885,5000,12000,885,,,1770,,,2212,,,1416,20345,20645,177
169,,,17800,12000,5000,890,5000,12000,890,,,1780,,,2225,,,1424,20475,20780,178
170,,,17900,12000,5000,895,5000,12000,895,,,1790,,,2237,,,1432,20610,20915,179
171,,,18000,12000,5000,900,5000,12000,900,,,1800,,,2250,,,1440,20745,21050,180
172,,,18100,12000,5000,905,5000,12000,905,,,1810,,,2262,,,1448,20880,21050,181
173,,,18200,12000,5000,910,5000,12000,910,,,1820,,,2275,,,1456,21010,21185,182
174,,,18300,12000,5000,915,5000,12000,915,,,1830,,,2287,,,1464,21145,21185,183
175,,,18400,12000,5000,920,5000,12000,920,,,1840,,,2300,,,1472,21215,21315,184
176,,,18500,12000,5000,925,5000,12000,925,,,1850,,,2312,,,1480,21350,21320,185
177,,,18600,12000,5000,930,5000,12000,930,,,1860,,,2325,,,1488,21485,21445,186
178,,,18700,12000,5000,935,5000,12000,935,,,1870,,,2337,,,1496,21620,21450,187
179,,,18800,12000,5000,940,5000,12000,940,,,1880,,,2350,,,1504,21675,21580,188
180,,,18900,12000,5000,945,5000,12000,945,,,1890,,,2362,,,1512,21750,21710,189
181,,,19000,12000,5000,950,5000,12000,950,,,1900,,,2375,,,1520,,,190
182,,,19100,12000,5000,955,5000,12000,955,,,1910,,,2387,,,1528,,,191
183,,,19200,12000,5000,960,5000,12000,960,,,1920,,,2400,,,1536,,,192
184,,,19300,12000,5000,965,5000,12000,965,,,1930,,,2412,,,1544,,,193
185,,,19400,12000,5000,970,5000,12000,970,,,1940,,,2425,,,1552,,,194
186,,,19500,12000,5000,975,5000,12000,975,,,1950,,,2437,,,1560,,,195
187,,,19600,12000,5000,980,5000,12000,980,,,1960,,,2450,,,1568,,,196
188,,,19700,12000,5000,985,5000,12000,985,,,1970,,,2462,,,1576,,,197
189,,,19800,12000,5000,990,5000,12000,990,,,1980,,,2475,,,1584,,,198
190,,,19900,12000,5000,995,5000,12000,995,,,1990,,,2487,,,1592,,,199
191,,,20000,12000,5000,1000,5000,12000,1000,,,2000,,,2500,,,1600,,,200
192,,,20100,12000,5000,1005,5000,12000,1005,,,2010,,,2512,,,1608,,,201
193,,,20200,12000,5000,1010,5000,12000,1010,,,2020,,,2525,,,1616,,,202
194,,,20300,12000,5000,1015,5000,12000,1015,,,2030,,,2537,,,1624,,,203
195,,,20400,12000,5000,1020,5000,12000,1020,,,2040,,,2550,,,1632,,,204
196,,,20500,12000,5000,1025,5000,12000,1025,,,2050,,,2562,,,1640,,,205
197,,,20600,12000,5000,1030,5000,12000,1030,,,2060,,,2575,,,1648,,,206
198,,,20700,12000,5000,1035,5000,12000,1035,,,2070,,,2587,,,1656,,,207
199,,,20800,12000,5000,1040,5000,12000,1040,,,2080,,,2600,,,1664,,,208
200,,,20900,12000,5000,1045,5000,12000,1045,,,2090,,,2612,,,1672,,,209
201,,,21000,12000,5000,1050,5000,12000,1050,,,2100,,,2625,,,1680,,,210
202,,,21100,12000,5000,1055,5000,12000,1055,,,2110,,,2637,,,1688,,,211
203,,,21200,12000,5000,1060,5000,12000,1060,,,2120,,,2650,,,1696,,,212
204,,,21300,12000,5000,1065,5000,12000,1065,,,2130,,,2662,,,1704,,,213
205,,,21400,12000,5000,1070,5000,12000,1070,,,2140,,,2675,,,1712,,,214
206,,,21500,12000,5000,1075,5000,12000,1075,,,2150,,,2687,,,1720,,,215
207,,,21600,12000,5000,1080,5000,12000,1080,,,2160,,,2700,,,1728,,,216
208,,,21700,12000,5000,1085,5000,12000,1085,,,2170,,,2712,,,1736,,,217
209,,,21800,12000,5000,1090,5000,12000,1090,,,2180,,,2725,,,1744,,,218
210,,,21900,12000,5000,1095,5000,12000,1095,,,2190,,,2737,,,1752,,,219
211,,,22000,12000,5000,1100,5000,12000,1100,,,2200,,,2750,,,1760,,,220
212,,,22100,12000,5000,1105,5000,12000,1105,,,2210,,,2762,,,1768,,,221
213,,,22200,12000,5000,1110,5000,12000,1110,,,2220,,,2775,,,1776,,,222
214,,,22300,12000,5000,1115,5000,12000,1115,,,2230,,,2787,,,1784,,,223
215,,,22400,12000,5000,1120,5000,12000,1120,,,2240,,,2800,,,1792,,,224
216,,,22500,12000,5000,1125,5000,12000,1125,,,2250,,,2812,,,1800,,,225
217,,,22600,12000,5000,1130,5000,12000,1130,,,2260,,,2825,,,1808,,,226
218,,,22700,12000,5000,1135,5000,12000,1135,,,2270,,,2837,,,1816,,,227
219,,,22800,12000,5000,1140,5000,12000,1140,,,2280,,,2850,,,1824,,,228
220,,,22900,12000,5000,1145,5000,12000,1145,,,2290,,,2862,,,1832,,,229
221,,,23000,12000,5000,1150,5000,12000,1150,,,2300,,,2875,,,1840,,,230
222,,,23100,12000,5000,1155,5000,12000,1155,,,2310,,,2887,,,1848,,,231
223,,,23200,12000,5000,1160,5000,12000,1160,,,2320,,,2900,,,1856,,,232
224,,,23300,12000,5000,1165,5000,12000,1165,,,2330,,,2912,,,1864,,,233
225,,,23400,12000,5000,1170,5000,12000,1170,,,2340,,,2925,,,1872,,,234
226,,,23500,12000,5000,1175,5000,12000,1175,,,2350,,,2937,,,1880,,,235
227,,,23600,12000,5000,1180,5000,12000,1180,,,2360,,,2950,,,1888,,,236
228,,,23700,12000,5000,1185,5000,12000,1185,,,2370,,,2962,,,1896,,,237
229,,,23800,12000,5000,1190,5000,12000,1190,,,2380,,,2975,,,1904,,,238
230,,,23900,12000,5000,1195,5000,12000,1195,,,2390,,,2987,,,1912,,,239
231,,,24000,12000,5000,1200,5000,12000,1200,,,2400,,,3000,,,1920,,,240
232,,,24100,12000,5000,1205,5000,12000,1205,,,2410,,,3012,,,1928,,,241
233,,,24200,12000,5000,1210,5000,12000,1210,,,2420,,,3025,,,1936,,,242
234,,,24300,12000,5000,1215,5000,12000,1215,,,2430,,,3037,,,1944,,,243
235,,,24400,12000,5000,1220,5000,12000,1220,,,2440,,,3050,,,1952,,,244
236,,,24500,12000,5000,1225,5000,12000,1225,,,2450,,,3062,,,1960,,,245
237,,,24600,12000,5000,1230,5000,12000,1230,,,2460,,,3075,,,1968,,,246
238,,,24700,12000,5000,1235,5000,12000,1235,,,2470,,,3087,,,1976,,,247
239,,,24800,12000,5000,1240,5000,12000,1240,,,2480,,,3100,,,1984,,,248
240,,,24900,12000,5000,1245,5000,12000,1245,,,2490,,,3112,,,1992,,,249
241,,,25000,12000,5000,1250,5000,12000,1250,,,2500,,,3125,,,2000,,,250
242,,,25100,12000,5000,1255,5000,12000,1255,,,2510,,,3137,,,2008,,,251
243,,,25200,12000,5000,1260,5000,12000,1260,,,2520,,,3150,,,2016,,,252
244,,,25300,12000,5000,1265,5000,12000,1265,,,2530,,,3162,,,2024,,,253
245,,,25400,12000,5000,1270,5000,12000,1270,,,2540,,,3175,,,2032,,,254
246,,,25500,12000,5000,1275,5000,12000,1275,,,2550,,,3187,,,2040,,,255
247,,,25600,12000,5000,1280,5000,12000,1280,,,2560,,,3200,,,2048,,,256
248,,,25700,12000,5000,1285,5000,12000,1285,,,2570,,,3212,,,2056,,,257
249,,,25800,12000,5000,1290,5000,12000,1290,,,2580,,,3225,,,2064,,,258
250,,,25900,12000,5000,1295,5000,12000,1295,,,2590,,,3237,,,2072,,,259
251,,,26000,12000,5000,1300,5000,12000,1300,,,2600,,,3250,,,2080,,,260
252,,,26100,12000,5000,1305,5000,12000,1305,,,2610,,,3262,,,2088,,,261
253,,,26220,12000,5000,1311,5000,12000,1311,,,2622,,,3277,,,2097,,,262
254,,,26340,12000,5000,1317,5000,12000,1317,,,2634,,,3292,,,2107,,,263
255,,,26460,12000,5000,1323,5000,12000,1323,,,2646,,,3307,,,2116,,,264
256,,,26580,12000,5000,1329,5000,12000,1329,,,2658,,,3322,,,2126,,,265
257,,,26700,12000,5000,1335,5000,12000,1335,,,2670,,,3337,,,2136,,,267
258,,,26820,12000,5000,1341,5000,12000,1341,,,2682,,,3352,,,2145,,,268
259,,,26940,12000,5000,1347,5000,12000,1347,,,2694,,,3367,,,2155,,,269
260,,,27060,12000,5000,1353,5000,12000,1353,,,2706,,,3382,,,2164,,,270
261,,,27180,12000,5000,1359,5000,12000,1359,,,2718,,,3397,,,2174,,,271
262,,,27300,12000,5000,1365,5000,12000,1365,,,2730,,,3412,,,2183,,,272
263,,,27420,12000,5000,1371,5000,12000,1371,,,2742,,,3427,,,2193,,,274
264,,,27540,12000,5000,1377,5000,12000,1377,,,2754,,,3442,,,2202,,,275
265,,,27660,12000,5000,1383,5000,12000,1383,,,2766,,,3457,,,2212,,,276
266,,,27780,12000,5000,1389,5000,12000,1389,,,2778,,,3472,,,2222,,,277
267,,,27900,12000,5000,1395,5000,12000,1395,,,2790,,,3487,,,2231,,,278
268,,,28020,12000,5000,1401,5000,12000,1401,,,2802,,,3502,,,2241,,,280
269,,,28140,12000,5000,1407,5000,12000,1407,,,2814,,,3517,,,2250,,,281
270,,,28260,12000,5000,1413,5000,12000,1413,,,2826,,,3532,,,2260,,,282
271,,,28380,12000,5000,1419,5000,12000,1419,,,2838,,,3547,,,2270,,,283
272,,,28500,12000,5000,1425,5000,12000,1425,,,2850,,,3562,,,2279,,,284
273,,,28620,12000,5000,1431,5000,12000,1431,,,2862,,,3577,,,2289,,,286
274,,,28740,12000,5000,1437,5000,12000,1437,,,2874,,,3592,,,2298,,,287
275,,,28860,12000,5000,1443,5000,12000,1443,,,2886,,,3607,,,2308,,,288
276,,,28980,12000,5000,1449,5000,12000,1449,,,2898,,,3622,,,2318,,,289
277,,,29100,12000,5000,1455,5000,12000,1455,,,2910,,,3637,,,2327,,,290
278,,,29220,12000,5000,1461,5000,12000,1461,,,2922,,,3652,,,2337,,,292
279,,,29340,12000,5000,1467,5000,12000,1467,,,2934,,,3667,,,2346,,,293
280,,,29460,12000,5000,1473,5000,12000,1473,,,2946,,,3682,,,2356,,,294
281,,,29600,12000,5000,1480,5000,12000,1480,,,2960,,,3700,,,2368,,,296
282,,,29740,12000,5000,1487,5000,12000,1487,,,2974,,,3717,,,2379,,,297
283,,,29880,12000,5000,1494,5000,12000,1494,,,2988,,,3735,,,2390,,,298
284,,,30020,12000,5000,1501,5000,12000,1501,,,3002,,,3752,,,2401,,,300
285,,,30160,12000,5000,1508,5000,12000,1508,,,3016,,,3770,,,2412,,,301
286,,,30300,12000,5000,1515,5000,12000,1515,,,3030,,,3787,,,2424,,,303
287,,,30440,12000,5000,1522,5000,12000,1522,,,3044,,,3805,,,2435,,,304
288,,,30580,12000,5000,1529,5000,12000,1529,,,3058,,,3822,,,2446,,,305
289,,,30720,12000,5000,1536,5000,12000,1536,,,3072,,,3840,,,2457,,,307
290,,,30860,12000,5000,1543,5000,12000,1543,,,3086,,,3857,,,2468,,,308
291,,,31000,12000,5000,1550,5000,12000,1550,,,3100,,,3875,,,2480,,,310
292,,,31140,12000,5000,1557,5000,12000,1557,,,3114,,,3892,,,2491,,,311
293,,,31280,12000,5000,1564,5000,12000,1564,,,3128,,,3910,,,2502,,,312
294,,,31420,12000,5000,1571,5000,12000,1571,,,3142,,,3927,,,2513,,,314
295,,,31560,12000,5000,1578,5000,12000,1578,,,3156,,,3945,,,2524,,,315
296,,,31700,12000,5000,1585,5000,12000,1585,,,3170,,,3962,,,2536,,,317
297,,,31840,12000,5000,1592,5000,12000,1592,,,3184,,,3980,,,2547,,,318
298,,,31980,12000,5000,1599,5000,12000,1599,,,3198,,,3997,,,2558,,,319
299,,,32120,12000,5000,1606,5000,12000,1606,,,3212,,,4015,,,2569,,,321
300,,,32260,12000,5000,1613,5000,12000,1613,,,3226,,,4032,,,2580,,,322
301,,,32400,12000,5000,1620,5000,12000,1620,,,3240,,,4050,,,2592,,,324
302,,,32540,12000,5000,1627,5000,12000,1627,,,3254,,,4067,,,2603,,,325
303,,,32680,12000,5000,1634,5000,12000,1634,,,3268,,,4085,,,2614,,,326
304,,,32820,12000,5000,1641,5000,12000,1641,,,3282,,,4102,,,2625,,,328
305,,,32960,12000,5000,1648,5000,12000,1648,,,3296,,,4120,,,2636,,,329
306,,,33100,12000,5000,1655,5000,12000,1655,,,3310,,,4137,,,2648,,,331
307,,,33240,12000,5000,1662,5000,12000,1662,,,3324,,,4155,,,2659,,,332
308,,,33380,12000,5000,1669,5000,12000,1669,,,3338,,,4172,,,2670,,,333
309,,,33520,12000,5000,1676,5000,12000,1676,,,3352,,,4190,,,2681,,,335
310,,,33660,12000,5000,1683,5000,12000,1683,,,3366,,,4207,,,2692,,,336
311,,,33820,12000,5000,1691,5000,12000,1691,,,3382,,,4227,,,2705,,,338
312,,,33980,12000,5000,1699,5000,12000,1699,,,3398,,,4247,,,2718,,,339
313,,,34140,12000,5000,1707,5000,12000,1707,,,3414,,,4267,,,2731,,,341
314,,,34300,12000,5000,1715,5000,12000,1715,,,3430,,,4287,,,2744,,,343
315,,,34460,12000,5000,1723,5000,12000,1723,,,3446,,,4307,,,2756,,,344
316,,,34620,12000,5000,1731,5000,12000,1731,,,3462,,,4327,,,2769,,,346
317,,,34780,12000,5000,1739,5000,12000,1739,,,3478,,,4347,,,2782,,,347
318,,,34940,12000,5000,1747,5000,12000,1747,,,3494,,,4367,,,2795,,,349
319,,,35100,12000,5000,1755,5000,12000,1755,,,3510,,,4387,,,2808,,,351
320,,,35260,12000,5000,1763,5000,12000,1763,,,3526,,,4407,,,2820,,,352
321,,,35420,12000,5000,1771,5000,12000,1771,,,3542,,,4427,,,2833,,,354
322,,,35580,12000,5000,1779,5000,12000,1779,,,3558,,,4447,,,2846,,,355
323,,,35740,12000,5000,1787,5000,12000,1787,,,3574,,,4467,,,2859,,,357
324,,,35900,12000,5000,1795,5000,12000,1795,,,3590,,,4487,,,2872,,,358
325,,,36060,12000,5000,1803,5000,12000,1803,,,3606,,,4507,,,2884,,,360
326,,,36220,12000,5000,1811,5000,12000,1811,,,3622,,,4527,,,2897,,,362
327,,,36380,12000,5000,1819,5000,12000,1819,,,3638,,,4547,,,2910,,,363
328,,,36540,12000,5000,1827,5000,12000,1827,,,3654,,,4567,,,2923,,,365
329,,,36700,12000,5000,1835,5000,12000,1835,,,3670,,,4587,,,2936,,,366
330,,,36860,12000,5000,1843,5000,12000,1843,,,3686,,,4607,,,2948,,,368
331,,,37020,12000,5000,1851,5000,12000,1851,,,3702,,,4627,,,2961,,,370
332,,,37180,12000,5000,1859,5000,12000,1859,,,3718,,,4647,,,2974,,,371
333,,,37340,12000,5000,1867,5000,12000,1867,,,3734,,,4667,,,2987,,,373
334,,,37500,12000,5000,1875,5000,12000,1875,,,3750,,,4687,,,3000,,,374
335,,,37660,12000,5000,1883,5000,12000,1883,,,3766,,,4707,,,3012,,,376
336,,,37820,12000,5000,1891,5000,12000,1891,,,3782,,,4727,,,3025,,,378
337,,,37980,12000,5000,1899,5000,12000,1899,,,3798,,,4747,,,3038,,,379
338,,,38140,12000,5000,1907,5000,12000,1907,,,3814,,,4767,,,3051,,,381
339,,,38300,12000,5000,1915,5000,12000,1915,,,3830,,,4787,,,3064,,,382
340,,,38460,12000,5000,1923,5000,12000,1923,,,3846,,,4807,,,3076,,,384
341,,,38640,12000,5000,1932,5000,12000,1932,,,3864,,,4830,,,3091,,,386
